// DXCC prefix data. Incomplete,but a starting point.
// Derived from https://github.com/k0swe/dxcc-json
// Thanks,K0SWE. Then big-cty.dat from AD1C used to
// augment the prefixes
//
138,^[AKNW]H7K,Kure Island
139,^VS9H,Kuria Muria Island (Deleted)
140,^PZ,Suriname
141,^VP8,Falkland Islands
142,^VU7,Lakshadweep Islands
143,^XW,Laos
144,^C[V-X],Uruguay
145,^YL,Latvia
146,^LY,Lithuania
147,^VK9L,Lord Howe Island
148,^(Y[V-Y]|4M),Venezuela
149,^(CQ1|CQ8|CR1|CR2|CR8|CS4|CS8|CT8|CU),Azores
150,^(V[H-K]|AX),Australia
151,^R1/M,Malyj Vysotskij Island (Deleted)
152,^XX9,Macao
153,^(VK0|AX0),Macquarie Island
154,^4W,Yemen Arab Republic (Deleted)
155,^VS2,Malaya (Deleted)
157,^C2,Nauru
158,^YJ,Vanuatu
159,^8Q,Maldives
160,^A3,Tonga
161,^H[JK]0M,Malpelo Island
162,^(FK|T8|TX),New Caledonia
163,^P2,Papua New Guinea
164,^C9,Manchuria (Deleted)
165,^3B8,Mauritius Island
166,^[AKWN]H0,Mariana Islands
167,^OJ0,Market Reef
168,^V7,Marshall Islands
169,^(FH|TO),Mayotte Island
170,^Z[K-M],New Zealand
171,^(AX9M|VI9M|VK9M|VZ9M),Mellish Reef
172,^VP6,Pitcairn Island
173,^V6,Micronesia
174,^[AKNW]H4,Midway Island
175,^(FO|TX),French Polynesia
176,^3D2,Fiji Islands
177,^JD1,Minami Torishima
178,^1M,Minerva Reef (Deleted)
179,^ER,Moldova
180,^SV2A,Mount Athos
181,^C[89],Mozambique
182,^[KNW]P1,Navassa Island
183,^PK5,Netherlands Borneo (Deleted)
184,^JZ0,Netherlands N Guinea (Deleted)
185,^H4[^0],Solomon Islands
186,^VO,Newfoundland Labrador (Deleted)
187,^5U,Niger
188,^E6,Niue
189,^(AX9|VI9|VK9),Norfolk Island
190,^5W,Samoa
191,^E5,North Cook Islands
192,^JD1,Ogasawara
193,^(KR[68]|JR6|KA6),Okinawa (Deleted)
194,^7J1,Okino Tori-shima (Deleted)
195,^3C0,Annobon
196,^(ZC6|4X1),Palestine (Deleted)
197,^[AKNW]H5,Palmyra & Jarvis Islands
198,^(P2|VK9),Papua Territory (Deleted)
199,^3Y,Peter 1 Island
200,^CR(8|10),Portuguese Timor (Deleted)
201,^Z[R-U]8,Prince Edward & Marion Islands
202,^[KNW]P[34],Puerto Rico
203,^C3,Andorra
204,^(4[A-C]|6[D-J]|X[A-I])4,Revillagigedo
205,^ZD8,Ascension Island
206,^OE,Austria
207,^3B9,Rodriguez Island
208,^9U5,Ruanda-Urundi (Deleted)
209,^O[N-T],Belgium
210,^9S4,Saar (Deleted)
211,^CY0,Sable Island
212,^LZ,Bulgaria
213,^(FS|TO),Saint Martin
214,^TK,Corsica
215,^(5B|C4|H2|P3),Cyprus
216,^[5H][JK]0,San Andres Island
217,^(3G|C[A-E]|X[Q-R])0X,San Felix Island
218,^O[K-M],Czechoslovakia (Deleted)
219,^S9,Sao Tome & Principe
220,^VS4,Sarawak (Deleted)
221,^(O[UVWZ]|5[P-Q]|XP),Denmark
222,^O[WY],Faroe Islands
223,^(G|GX|M|2E|2O|MO|2Q|2R|2V|VP|VQ),England
224,^O[F-J],Finland
225,^I[SMW]0,Sardinia
226,^8Z4,Saudi Arabia/Iraq Neutral Zone (Deleted)
227,^(F|H[W-Y]|T[HMOPQVWX]),France
228,^(HK0|KP3|KS4),Serrana Bank & Roncador Cay (Deleted)
229,^(DM|Y[2-9]),German Democratic Republic (Deleted)
230,^D[A-R],Federal Republic of Germany
231,^AC3,Sikkim (Deleted)
232,^(T5|6O),Somalia
233,^Z[BGQ],Gibraltar
234,^E5,South Cook Islands
235,^(VP8|LU),South Georgia Island
236,^(S[V-Z]|J4),Greece
237,^(OX|XP),Greenland
238,^(VP8|VP0|LU),South Orkney Islands
239,^H[AG],Hungary
240,^(VP8|LU),South Sandwich Islands
241,^(VP8|LU|CE9|HF0|4K1|XR9),South Shetland Islands
242,^TF,Iceland
243,^VS9[APS],People's Dem Rep of Yemen (Deleted)
244,^ST0,Southern Sudan (Deleted)
245,^E[IJ],Ireland
246,^1A,Sovereign Military Order of Malta
247,^(9M0|B[MNOPQUVWX]9S|9M2),Spratly Islands
248,^I,Italy
249,^V4,Saint Kitts & Nevis
250,^ZD7,Saint Helena
251,^(HB0|HE0),Liechtenstein
252,^CY9,Saint Paul Island
253,^(P[P-Y]0Z*S|Z[V-Z]0Z*S),Saint Peter and Paul Rocks
254,^LX,Luxembourg
255,^PJ,Sint Maarten, Saba, Saint Eustatius (Deleted)
256,^(CQ[2-3]|CQ9|C[R-S]3|C[R-T]9),Madeira Islands
257,^9H,Malta
258,^PK4,Sumatra (Deleted)
259,^JW,Svalbard
260,^3A,Monaco
261,^KS4,Swan Island (Deleted)
262,^EY,Tajikistan
263,^P[A-I],Netherlands
264,^CN2,Tangier (Deleted)
265,^(2I|[GM][IN]),Northern Ireland
266,^L[A-N],Norway
267,^(P2|VK9),Territory of New Guinea (Deleted)
268,^AC4,Tibet (Deleted)
269,^(HF|S[N-R]|3Z),Poland
270,^ZK3,Tokelau Islands
271,^I1,Trieste (Deleted)
272,^C[Q-T],Portugal
273,^(P[P-Y]0Z*T|Z[V-Z]0Z*T),Trindade & Martim Vaz Islands
274,^ZD9,Tristan da Cunha & Gough Islands
275,^Y[O-R],Romania
276,^(FT[0-9]T|TO),Tromelin Island
277,^(FP|TO),Saint Pierre & Miquelon
278,^T7,San Marino
279,^(2A|2M|GM|GS|MA|MM|MS|2S),Scotland
280,^EZ,Turkmenistan
281,^(E[A-H]|AM|AN|AO),Spain
282,^T2,Tuvalu
283,^ZC4,U K Bases on Cyprus
284,^(S[A-M]|[78]S),Sweden
285,^[KNW]P2,US Virgin Islands
286,^5X,Uganda
287,^(HB|HE),Switzerland
288,^(U[5R-Z]|E[M-O]),Ukraine
289,^4U,United Nations HQ
291,^(K|W|N|A[A-L]),United States of America
292,^U[J-M],Uzbekistan
293,^(3W|XV),Viet Nam
294,^(2W|2C|GC|GW|MC|MW),Wales
295,^HV,Vatican City
296,^(4N|Y[TUZ]),Serbia
297,^[AKNW]H9,Wake Island
298,^(FW|TW),Wallis & Futuna Islands
299,^9[MW][245],West Malaysia
301,^T30,Western Kiribati
